config,seed,n_features,train_size,val_size,val_logloss,val_brier
baseline,0,50,1733335,59811,0.3235562989568231,0.10449556318621776
baseline,1,50,1733335,59811,0.3197945787501709,0.10358976553541675
baseline,2,50,1733335,59811,0.32869372649414264,0.10652654593448747
baseline,3,50,1733335,59811,0.3207526150337621,0.10384474411922089
baseline,42,50,1733335,59811,0.32179763613897744,0.10353536907195501
drop_price,0,49,1733335,59811,0.30976464219690786,0.09959127847047253
drop_price,1,49,1733335,59811,0.3317047471072701,0.10769664325492524
drop_price,2,49,1733335,59811,0.3322042555425696,0.10733573566415892
drop_price,3,49,1733335,59811,0.31503984993199435,0.10190620165956228
drop_price,42,49,1733335,59811,0.311958998844677,0.10003920766660424
drop_minus_max,0,49,1733335,59811,0.31709558170503094,0.10170556819750282
drop_minus_max,1,49,1733335,59811,0.3110990328564104,0.09927302980201565
drop_minus_max,2,49,1733335,59811,0.3147907537767454,0.10045730618834763
drop_minus_max,3,49,1733335,59811,0.31160763941020486,0.0997160341498395
drop_minus_max,42,49,1733335,59811,0.30385964669537424,0.0971700501205159
