fold,feature,mean_abs_shap
1,network_px_std,0.0731548614807583
1,network_px_std_delta_3d,0.1274478620999107
1,network_disc_gap,0.2503401842428321
1,network_disc_gap_delta_3d,0.09550192529418215
1,lga_phase_std,0.10436826015864517
1,lga_phase_std_delta_3d,0.029714638350627834
2,network_px_std,0.09836222191955815
2,network_px_std_delta_3d,0.09760640240896008
2,network_disc_gap,0.3407198870000531
2,network_disc_gap_delta_3d,0.07977416958033662
2,lga_phase_std,0.08879182911619972
2,lga_phase_std_delta_3d,0.020460596195829375
3,network_px_std,0.08944938725361262
3,network_px_std_delta_3d,0.10072262025443669
3,network_disc_gap,0.24287416367036585
3,network_disc_gap_delta_3d,0.1027906152122437
3,lga_phase_std,0.04762036835923828
3,lga_phase_std_delta_3d,0.019398739174854372
4,network_px_std,0.14977112653856214
4,network_px_std_delta_3d,0.12247089335838089
4,network_disc_gap,0.27229774371628607
4,network_disc_gap_delta_3d,0.07692473085517508
4,lga_phase_std,0.054627511473537026
4,lga_phase_std_delta_3d,0.06833656502191456
5,network_px_std,0.12213616814531154
5,network_px_std_delta_3d,0.08867790277686131
5,network_disc_gap,0.2231429040206529
5,network_disc_gap_delta_3d,0.03555983699738386
5,lga_phase_std,0.03610172333791028
5,lga_phase_std_delta_3d,0.061019577881807716
6,network_px_std,0.108151191063277
6,network_px_std_delta_3d,0.1329178228460339
6,network_disc_gap,0.23546321803224016
6,network_disc_gap_delta_3d,0.04504914713464501
6,lga_phase_std,0.03167583753014405
6,lga_phase_std_delta_3d,0.0355890620927206
7,network_px_std,0.17581488795672853
7,network_px_std_delta_3d,0.0986249821735837
7,network_disc_gap,0.2393187406511416
7,network_disc_gap_delta_3d,0.05812994403255526
7,lga_phase_std,0.049279618213079766
7,lga_phase_std_delta_3d,0.0494704524132278
8,network_px_std,0.11966551519628127
8,network_px_std_delta_3d,0.10876446130846218
8,network_disc_gap,0.6053205851236927
8,network_disc_gap_delta_3d,0.045601263787886655
8,lga_phase_std,0.03635165783833056
8,lga_phase_std_delta_3d,0.06297943455974278
9,network_px_std,0.09617053190342402
9,network_px_std_delta_3d,0.09759785023492618
9,network_disc_gap,0.22566423731284949
9,network_disc_gap_delta_3d,0.03390049008310693
9,lga_phase_std,0.06846909561171445
9,lga_phase_std_delta_3d,0.029818669566438968
10,network_px_std,0.0784929739590798
10,network_px_std_delta_3d,0.17758052071927075
10,network_disc_gap,0.10107795228767602
10,network_disc_gap_delta_3d,0.06817837594886679
10,lga_phase_std,0.04322884272263127
10,lga_phase_std_delta_3d,0.03511443624653126
11,network_px_std,0.06264411757551329
11,network_px_std_delta_3d,0.1449528820833479
11,network_disc_gap,0.08999249135217542
11,network_disc_gap_delta_3d,0.044365164847923626
11,lga_phase_std,0.08808157322466471
11,lga_phase_std_delta_3d,0.06688457935202965
12,network_px_std,0.10023412313716039
12,network_px_std_delta_3d,0.14972915635299455
12,network_disc_gap,0.20486924556484132
12,network_disc_gap_delta_3d,0.048892093696884416
12,lga_phase_std,0.03218019485677915
12,lga_phase_std_delta_3d,0.06764713811021736
13,network_px_std,0.060632198867561916
13,network_px_std_delta_3d,0.16440923434946794
13,network_disc_gap,0.13981008458177377
13,network_disc_gap_delta_3d,0.04026503633372705
13,lga_phase_std,0.04817130907199527
13,lga_phase_std_delta_3d,0.043165122405578134
14,network_px_std,0.06352222790865338
14,network_px_std_delta_3d,0.17107121212371895
14,network_disc_gap,0.15123102716051762
14,network_disc_gap_delta_3d,0.037373888115926956
14,lga_phase_std,0.07602623041128416
14,lga_phase_std_delta_3d,0.05291012064326911
