fold,val_start,val_end,elongation,gradient,descent_frac,cycle_descent_slope,delta_hard25_R1_ABC,delta_hard25_R5_A_only,delta_hard25_R6_B_only,delta_hard25_R7_C_only
1,2021-11-05,2022-02-02,0.6882312456985548,-0.7142857142857143,0.4187943039959852,-0.7398490749756552,-0.18384890870826132,-0.02782558226707832,-0.05824281481621352,-0.11872643741113387
2,2022-02-03,2022-05-03,0.6072874493927125,-0.8928571428571429,0.4426409958771965,-1.527532880474059,-0.06001952114071485,0.013321096229935048,0.007451145587205388,-0.06197052464436503
3,2022-05-04,2022-08-01,0.4699563611950319,-1.0714285714285714,0.5385431597758708,-1.0963888888888864,-0.2374336665533574,-0.21309961491462448,-0.11322526285218149,0.04443433242683148
4,2022-08-02,2022-10-30,0.5108556832694764,-1.0714285714285714,0.5002486410480649,-4.092652753872634,-0.016559538790974937,-0.057249926684986185,0.1023582904812732,0.09346381685439642
5,2022-10-31,2023-01-28,0.7340674007340674,-1.0714285714285714,0.3554058979744155,-1.7680335365853665,-0.12069069250196007,-0.1423850819663709,-0.008124802496887962,-0.048405025003308344
6,2023-01-29,2023-04-28,0.5901639344262295,-0.7857142857142857,0.45557085824863586,-0.8163909774436107,-0.007911802404212964,-0.008470317422325957,-0.005466121709703287,-0.015621746332395658
7,2023-04-29,2023-07-27,0.5108556832694764,-0.8571428571428571,0.501934051447503,-1.1963636363636323,0.08378376635691176,0.09002579937971933,-0.006677252291076408,-0.010609234293898373
8,2023-07-28,2023-10-25,0.565859792518076,-0.9285714285714286,0.4541038525963149,-0.5813362701908943,-0.14288891753708777,-0.07963891726927197,0.05858518474671026,-0.08197021808079619
9,2023-10-26,2024-01-23,0.5340873389883758,-1.0714285714285714,0.48952050914664624,-1.7422762008733628,0.11745470155543258,0.014113245218861925,0.07279246452064303,0.03091822830447266
10,2024-01-24,2024-04-22,0.3409795412275264,-0.9285714285714286,0.6222753719064339,-1.1307453416149014,-0.007821677473968003,-0.008301987472941752,0.01881763403782044,-0.00861413037336023
11,2024-04-23,2024-07-21,0.5831798649478208,-1.0714285714285714,0.4437698611807995,-1.7569573283859004,-0.053812973422838084,-0.03166962284025088,0.0053514379115156,0.023995879737779724
12,2024-07-22,2024-10-19,0.36297640653357527,-1.3857142857142861,0.6778846153846154,-2.596303265080243,0.011205957354592844,0.009481185401072567,-0.004990800139224705,-0.046622846289503195
13,2024-10-20,2025-01-17,0.48323769254001814,-0.7999999999999992,0.5179695124003096,-1.5318529130850134,0.04584248992849882,0.012999860625954374,0.023594688143638298,0.003016028688611172
14,2025-01-18,2025-04-17,0.5678421996413628,-1.1142857142857139,0.46557800341951916,-1.5022062350119887,-0.025123891815419963,0.010790276089807982,-0.029427308729571555,-0.002964429278300429
