axis,zone,model_fills,model_litres,model_cpl,oracle_fills,oracle_litres,oracle_cpl,headroom_cpl
regime,late_descent,241,7825.0,184.5044728434505,236,8200.0,183.50548780487804,0.9989850385724424
regime,normal,354,9525.0,195.2955380577428,310,8700.0,193.79252873563217,1.5030093221106142
regime,overdue,154,4300.0,187.22441860465116,159,5025.0,185.89601990049752,1.328398704153642
quarter,Q1,216,6175.0,190.37813765182187,207,6125.0,189.14163265306124,1.236504998760637
quarter,Q2,167,4900.0,191.9515306122449,156,5000.0,190.0195,1.9320306122449153
quarter,Q3,162,4800.0,189.77708333333334,151,4900.0,186.9719387755102,2.8051445578231267
quarter,Q4,204,5775.0,187.34632034632034,191,5900.0,186.46016949152542,0.88615085479492
volatility,vol_high,246,6750.0,194.09259259259258,237,7425.0,190.5020202020202,3.5905723905723903
volatility,vol_low,248,7875.0,183.2984126984127,243,7675.0,183.31791530944625,-0.01950261103354478
volatility,vol_mid,255,7025.0,192.93985765124555,225,6825.0,190.97802197802199,1.9618356732235611
fold,1,51,1500.0,168.52833333333334,48,1500.0,168.22666666666666,0.3016666666666765
fold,10,55,1500.0,207.37666666666667,50,1500.0,204.40333333333334,2.973333333333329
fold,11,52,1500.0,204.55666666666667,49,1500.0,203.12666666666667,1.4300000000000068
fold,12,50,1500.0,184.86333333333334,50,1575.0,182.87142857142857,1.9919047619047774
fold,13,56,1600.0,188.815625,47,1575.0,187.2904761904762,1.525148809523813
fold,14,55,1600.0,190.20625,53,1600.0,189.66875,0.5375000000000227
fold,2,47,1525.0,177.48524590163933,46,1525.0,175.71803278688526,1.767213114754071
fold,3,55,1625.0,198.2369230769231,47,1625.0,194.6030769230769,3.6338461538461786
fold,4,51,1600.0,175.159375,47,1525.0,173.727868852459,1.4315061475410005
fold,5,55,1625.0,187.3753846153846,57,1625.0,186.72153846153847,0.653846153846132
fold,6,55,1500.0,190.23833333333334,55,1625.0,189.94153846153847,0.29679487179487296
fold,7,52,1500.0,179.64,50,1500.0,178.05,1.589999999999975
fold,8,58,1550.0,204.23225806451612,51,1625.0,199.25692307692307,4.975334987593044
fold,9,57,1525.0,200.4344262295082,55,1625.0,198.57076923076923,1.8636569987389748
