fold,arm,delta_cpl_held,delta_cpl_own,tau_diverges
1,vel7,0.03333333333333144,0.03333333333333144,False
2,vel7,-0.3029878371231973,-0.3029878371231973,False
3,vel7,-0.25846153846154607,-0.25846153846154607,False
4,vel7,0.34375,0.34375,False
5,vel7,0.16153846153846985,0.16153846153846985,False
6,vel7,-0.03333333333333144,-0.03333333333333144,False
7,vel7,-0.11666666666664582,-0.11666666666664582,False
8,vel7,-0.5135080645161167,-0.5135080645161167,False
9,vel7,-0.29894235854047224,-0.29894235854047224,False
10,vel7,-0.6666666666666572,-0.6666666666666572,False
11,vel7,0.0,0.0,False
12,vel7,0.0,0.0,False
13,vel7,0.234375,0.234375,False
14,vel7,0.390625,0.390625,False
1,gap_vel7,0.03333333333333144,0.03333333333333144,False
2,gap_vel7,-0.39476971116314985,-0.39476971116314985,False
3,gap_vel7,-0.5661538461538669,-0.5661538461538669,False
4,gap_vel7,0.375,0.375,False
5,gap_vel7,-0.1331971153846041,-0.1331971153846041,False
6,gap_vel7,-0.1727595628415486,-0.1727595628415486,False
7,gap_vel7,-0.44999999999998863,-0.44999999999998863,False
8,gap_vel7,-0.2129032258064285,-0.2129032258064285,False
9,gap_vel7,0.0,0.0,False
10,gap_vel7,0.0,0.0,False
11,gap_vel7,0.0,0.0,False
12,gap_vel7,-0.09666666666666401,-0.09666666666666401,False
13,gap_vel7,-0.28125,-0.28125,False
14,gap_vel7,0.38084677419354307,0.38084677419354307,False
