fold_idx,train_start,train_end,val_start,val_end,n_val,baseline_logloss,model_logloss,delta
1,2016-10-30,2021-10-28,2021-11-05,2022-02-02,47823,0.40190510003360563,0.37620073334699305,-0.02570436668661258
2,2016-10-30,2022-01-26,2022-02-03,2022-05-03,49966,0.26870690859987884,0.27004451545252117,0.0013376068526423368
3,2016-10-30,2022-04-26,2022-05-04,2022-08-01,53719,0.37661102227567017,0.39173882918104125,0.015127806905371077
4,2016-10-30,2022-07-25,2022-08-02,2022-10-30,58317,0.420524291795595,0.4056556952966648,-0.014868596498930187
5,2016-10-30,2022-10-23,2022-10-31,2023-01-28,57613,0.2939803554108413,0.2830659320547586,-0.01091442335608267
6,2016-10-30,2023-01-21,2023-01-29,2023-04-28,57361,0.21814575196132616,0.22501428045665517,0.006868528495329013
7,2016-10-30,2023-04-21,2023-04-29,2023-07-27,57651,0.2511904800024137,0.25701078999964855,0.005820309997234874
8,2016-10-30,2023-07-20,2023-07-28,2023-10-25,59700,0.30626274795519226,0.2878125990522773,-0.018450148902914965
9,2016-10-30,2023-10-18,2023-10-26,2024-01-23,60022,0.33051669406832346,0.34037057648476826,0.009853882416444804
10,2016-10-30,2024-01-16,2024-01-24,2024-04-22,58953,0.2542584492543355,0.2486341160845934,-0.005624333169742091
11,2016-10-30,2024-04-15,2024-04-23,2024-07-21,59790,0.3441310448127469,0.3738185827797009,0.029687537966954003
12,2016-10-30,2024-07-14,2024-07-22,2024-10-19,60944,0.30485216555616207,0.3200420323944026,0.015189866838240529
13,2016-10-30,2024-10-12,2024-10-20,2025-01-17,59434,0.3000811243941768,0.3024368225193911,0.0023556981252143006
14,2016-10-30,2025-01-10,2025-01-18,2025-04-17,57318,0.36191118909925846,0.3636234300830835,0.001712240983825053
