fold,val_start,val_end,val_rows,buy_rate,ll_phase4,ll_l1,delta
1,2021-11-05,2022-02-02,47823,0.3050415072245572,0.40190510003360563,0.3931034243910733,-0.008801675642532314
2,2022-02-03,2022-05-03,49966,0.18630668854821278,0.26870690859987884,0.25407302586800945,-0.014633882731869385
3,2022-05-04,2022-08-01,53719,0.07202293415737449,0.37661102227567017,0.5123896084750544,0.13577858619938427
4,2022-08-02,2022-10-30,58317,0.30022120479448533,0.420524291795595,0.5082592551582308,0.08773496336263581
5,2022-10-31,2023-01-28,57613,0.30026209362470274,0.2939803554108413,0.29400928606750765,2.8930656666370513e-05
6,2023-01-29,2023-04-28,57361,0.12630532940499642,0.21814575196132616,0.2123455627099477,-0.005800189251378457
7,2023-04-29,2023-07-27,57651,0.3229952646094604,0.2511904800024137,0.270112801941494,0.018922321939080333
8,2023-07-28,2023-10-25,59700,0.09278056951423785,0.30626274795519226,0.3188730876039439,0.012610339648751634
9,2023-10-26,2024-01-23,60022,0.33086201726033787,0.33051669406832346,0.3708122160690407,0.04029552200071723
10,2024-01-24,2024-04-22,58953,0.14370769935372246,0.2542584492543355,0.256410415453835,0.002151966199499533
11,2024-04-23,2024-07-21,59790,0.27705301889948153,0.3441310448127469,0.33037237634630073,-0.013758668466446189
12,2024-07-22,2024-10-19,60944,0.29152992911525333,0.30485216555616207,0.34858390328790967,0.0437317377317476
13,2024-10-20,2025-01-17,59434,0.2244170003701585,0.3000811243941768,0.324107257250098,0.0240261328559212
14,2025-01-18,2025-04-17,57318,0.30046407760214944,0.36191118909925846,0.3741368014219275,0.012225612322669055
