feature,cluster_id,mean_abs_shap,siblings
station_minus_last_max_cents,1,1.4384863380492627,"station_price_cents,station_minus_last_min_cents,station_minus_sydney_avg_cents,station_minus_lga_mean_cents"
station_minus_last_min_cents,1,1.2403782928670046,"station_price_cents,station_minus_last_max_cents,station_minus_sydney_avg_cents,station_minus_lga_mean_cents"
station_minus_lga_mean_cents,1,0.4224335427249222,"station_price_cents,station_minus_last_min_cents,station_minus_last_max_cents,station_minus_sydney_avg_cents"
station_price_cents,1,0.33953242080321083,"station_minus_last_min_cents,station_minus_last_max_cents,station_minus_sydney_avg_cents,station_minus_lga_mean_cents"
station_minus_sydney_avg_cents,1,0.252662111818273,"station_price_cents,station_minus_last_min_cents,station_minus_last_max_cents,station_minus_lga_mean_cents"
station_minus_brand_mean_cents,2,0.14497641148237383,
days_since_trough_entry_wollondilly,3,0.019598627147713252,
cycle_peak_count,4,0.05199808929810374,
stickiness_score,5,0.46193363578300545,
cycle_last_min_cents,6,0.09340248395567492,cycle_last_max_cents
cycle_last_max_cents,6,0.045118865183798394,cycle_last_min_cents
days_since_trough_entry_randwick,7,0.09126987998034866,"days_since_trough_entry_burwood,days_since_trough_entry_hornsby,days_since_trough_entry_strathfield"
days_since_trough_entry_burwood,7,0.053387555625073746,"days_since_trough_entry_hornsby,days_since_trough_entry_randwick,days_since_trough_entry_strathfield"
days_since_trough_entry_strathfield,7,0.040476883955909246,"days_since_trough_entry_burwood,days_since_trough_entry_hornsby,days_since_trough_entry_randwick"
days_since_trough_entry_hornsby,7,0.023744364785612163,"days_since_trough_entry_burwood,days_since_trough_entry_randwick,days_since_trough_entry_strathfield"
days_since_trough_entry_mosman,8,0.03968868072143029,"days_since_trough_entry_fairfield,days_since_trough_entry_north_sydney,days_since_trough_entry_penrith,days_since_trough_entry_rockdale,days_since_trough_entry_sydney"
days_since_trough_entry_penrith,8,0.024553215884880134,"days_since_trough_entry_fairfield,days_since_trough_entry_mosman,days_since_trough_entry_north_sydney,days_since_trough_entry_rockdale,days_since_trough_entry_sydney"
days_since_trough_entry_sydney,8,0.02254022733589549,"days_since_trough_entry_fairfield,days_since_trough_entry_mosman,days_since_trough_entry_north_sydney,days_since_trough_entry_penrith,days_since_trough_entry_rockdale"
days_since_trough_entry_north_sydney,8,0.02080091237026675,"days_since_trough_entry_fairfield,days_since_trough_entry_mosman,days_since_trough_entry_penrith,days_since_trough_entry_rockdale,days_since_trough_entry_sydney"
days_since_trough_entry_rockdale,8,0.0126802442178493,"days_since_trough_entry_fairfield,days_since_trough_entry_mosman,days_since_trough_entry_north_sydney,days_since_trough_entry_penrith,days_since_trough_entry_sydney"
days_since_trough_entry_fairfield,8,0.01171164849475456,"days_since_trough_entry_mosman,days_since_trough_entry_north_sydney,days_since_trough_entry_penrith,days_since_trough_entry_rockdale,days_since_trough_entry_sydney"
days_since_trough_entry_blacktown,9,0.007950282186857286,days_since_trough_entry_inner_west
days_since_trough_entry_inner_west,9,0.002660829202899282,days_since_trough_entry_blacktown
days_since_trough_entry_liverpool,10,0.014494099085353375,days_since_trough_entry_canterbury_bankstown
days_since_trough_entry_canterbury_bankstown,10,0.008429086412742622,days_since_trough_entry_liverpool
days_since_trough_entry_woollahra,11,0.12771780813549788,days_since_trough_entry_georges_river
days_since_trough_entry_georges_river,11,0.032639799161061196,days_since_trough_entry_woollahra
days_since_trough_entry_the_hills_shire,12,0.0012370341129129664,
days_since_trough_entry_northern_beaches,13,0.005052371176869608,
days_since_trough_entry_blue_mountains,14,0.09763261934665143,"days_since_trough_entry_cumberland,days_since_trough_entry_willoughby"
days_since_trough_entry_cumberland,14,0.08880194922138634,"days_since_trough_entry_blue_mountains,days_since_trough_entry_willoughby"
days_since_trough_entry_willoughby,14,0.010575035561869757,"days_since_trough_entry_blue_mountains,days_since_trough_entry_cumberland"
cycle_mean_length,15,0.44512156555512183,"days_since_trough_entry_canada_bay,days_since_trough_entry_ku_ring_gai"
days_since_trough_entry_ku_ring_gai,15,0.01205862133978474,"cycle_mean_length,days_since_trough_entry_canada_bay"
days_since_trough_entry_canada_bay,15,0.0094092472790245,"cycle_mean_length,days_since_trough_entry_ku_ring_gai"
days_since_trough_entry_sutherland_shire,16,0.012371815823188153,
brand_mean_cents,17,0.04338595994948322,
days_since_trough_entry_hawkesbury,18,0.04358364256212987,days_since_trough_entry_parramatta
days_since_trough_entry_parramatta,18,0.04005618302212201,days_since_trough_entry_hawkesbury
days_since_trough_entry_camden,19,0.031462731585223606,
cycle_pct_through,20,0.12227532542623785,cycle_days_since_peak
cycle_days_since_peak,20,0.05205711468694658,cycle_pct_through
lga_mean_cents,21,0.03026701028609303,
days_since_trough_entry_campbelltown,22,0.005125529296229451,
days_since_trough_entry_ryde,23,0.008867541298187837,
days_since_trough_entry_bayside,24,0.0,
days_since_trough_entry_botany_bay,25,0.0,
days_since_trough_entry_hunters_hill,26,0.0,
days_since_trough_entry_lane_cove,27,0.0,
days_since_trough_entry_waverley,28,0.0,
